u,v,length_meters
84745038,84745065,299.67601542852725
84745069,84745065,70.79165931325704
84745045,7975881061,54.58660132210892
84745045,84769079,353.38749979016853
84745065,84769079,67.88527530246247
84769079,84773352,72.20144974419286
84747717,7025692815,39.47271302933363
84747717,84890162,82.65556257100604
84747717,84890180,243.76339347512047
7025692815,7025692815,215.5270310048341
84890162,2369902263,106.72850220021533
84890162,84935306,236.62424182734298
84747907,84869123,643.0988736125163
84747907,84873639,74.17180152812949
84747907,8034263513,389.55339581962426
84869123,84863802,21.13668787320644
84869123,84873639,285.4856152766475
84873639,84882439,274.7986406126159
8034263513,9554056369,46.58640382722993
8034263513,9554056366,48.502741117622406
84747917,84747932,117.94011879018828
84747917,84747965,63.71815973402137
84747932,84747948,33.94841293759929
84747965,84793109,261.8840242652616
84747965,84763169,189.99085554695444
84747965,84763182,224.16582500816236
84747948,84876723,280.3571239476342
84747948,84891516,425.3120149516283
84876723,84876725,58.172147914791246
84876723,84887292,148.0936523691272
84891516,84868191,344.5104173536446
84891516,84891510,120.50014152555747
84793109,84793124,231.32892956963354
84793109,84884672,287.28582594597896
84763169,84763182,180.8481108063258
84763169,84884655,129.47691648754756
84763182,84887282,112.2221959993575
84747972,84747993,247.14843955934197
84747993,84893641,87.62404904965585
84747993,84837876,198.46348242205232
84893641,84863993,569.6692213177199
84893641,4249843755,193.22043152610416
84837876,618869099,435.578913813073
84837876,84837880,309.61610602363623
84748006,84756544,75.09667727734765
84748006,1845448084,54.80970743951196
84748006,84748015,325.49825496169035
84756544,84748029,102.130551889954
84756544,84756546,36.26408216587252
84748015,84748029,157.2377925529909
84748015,84748025,223.00413841791658
84748029,84748025,70.07456840314599
84748025,1845448083,38.79976423715863
1845448083,84844502,207.41779135351194
1845448083,84858956,206.02910881748625
84748240,84834796,70.03743143487787
84748240,84748243,113.10323106398819
84748240,1384590646,134.5948479976779
84834796,84834794,11.269294052841643
84834796,1286805167,379.5764296894418
84748243,84748263,47.50540133801873
84748243,10089977414,25.941763301090937
84748243,84748252,64.33529867627279
1384590646,1384590818,10.821212724261375
1384590646,3357470857,66.15583047788876
84748252,1419738949,70.22894450135803
1419738949,1419738953,26.56786515121025
84749479,84794575,129.36570374701452
84794575,11724548306,9.645421490787736
84749512,84749516,25.2310017499925
84749512,84909376,252.44327357169624
84749512,84890212,37.57864655656999
84749516,84890212,39.15420480202822
84749516,84873332,643.9996686274762
84909376,84854168,86.92120813743418
84909376,84885910,92.09351651016807
84890212,84885912,18.602947550422694
84873332,84873338,288.6352200861207
84873332,84890202,87.26621003445686
84749589,2133424045,11.093978231934551
84749589,84858508,181.13947903712554
84749589,84749595,171.95092382871414
84749589,84841315,182.9104436250225
2133424045,582426178,175.56922014866632
2133424045,1382257137,183.42518021401767
84858508,84854767,167.817049005272
84858508,582426178,12.852121936456971
84858508,84831816,175.313344214515
84751386,84877513,57.735413703540054
84877513,84829762,197.67344277127273
84877513,84867526,251.24242531611551
84877513,84875901,80.98397537500873
84751988,541315176,1.6578214815835939
84751988,84751998,188.64840447013233
84751988,84776604,20.64412878894717
84751998,84752014,149.0001018825871
84751998,84785479,89.97140088727859
84776604,84822583,525.4560528568004
84776604,7328109977,170.14400053131024
84752014,84752017,118.60729323711476
84752014,84785479,243.20555159774028
84785479,84785483,21.02169013521001
84753231,3529433144,15.324928915265826
84753231,84844562,368.79338760524865
84753231,4216395666,218.68819167422137
3529433144,4216395794,220.0194080844521
3529433144,10959165053,425.45900499533883
84844562,10959165059,65.44400692979863
84844562,10959165053,58.18450666537535
84753537,84753538,107.16780793791699
84753537,84836920,45.70192366217847
84753537,84826649,125.19251901650625
84836920,84836917,41.297855257947774
84836920,84866070,191.19934450019684
84826649,4216395823,223.76774736117
84826649,84826652,104.42392958074305
84826649,84836929,96.01483283004565
84826649,4216394596,223.80902887242726
84756546,6060453858,79.79643272006402
84756546,1419597108,80.01407911360754
6060453858,1419597108,10.133505598386654
6060453858,84844502,61.477123119788075
84756834,84756837,75.23579637262718
84756834,84756997,56.48966078563402
84756834,84756980,53.27522271707622
84756997,84756999,62.063404341533406
84756997,84767377,64.3734653375319
84756980,84756974,38.144209840127495
84756980,84767377,76.92891630835196
84767377,84767369,53.81515153766615
84756999,4193945891,113.1253033579878
4193945891,4193945891,305.35695088794984
84758412,84758428,23.730124971591913
84758412,84773370,65.09236712670945
84758428,84773352,159.32679199335135
84759886,84759911,100.84330230857017
84759886,84859812,60.619581694638754
84759911,84881642,99.18415114121285
84859812,84881648,136.0395945192902
84859812,84861059,548.1378505353185
84859812,84881647,93.45289655255061
84881642,84823921,21.327949743515592
84881642,84881638,145.30276555055354
84759994,7776377621,180.70878005005926
84759994,84919365,209.28308238918623
84759994,84823917,280.4720770939936
7776377621,6595128732,23.624043391275706
7776377621,6595128730,25.74448766769985
84919365,84826214,69.5982196662416
84919365,84826216,141.0342903818624
84823917,84844257,82.4926873082821
84823917,84935475,84.24432235525123
84760430,84760432,21.63326498419807
84760430,84906394,218.50423834331738
84760430,84802642,95.41267022105379
84802642,84924740,186.77202128601596
84802642,84853743,133.71481867880112
84761142,84875105,6.587292639728122
84761142,84761144,165.17885822663905
84761142,84832140,67.92524447716352
84875105,84859944,32.934980948213024
84875105,84875173,72.28907025744806
84761144,3708580795,348.6535877412076
84761144,3708580796,486.6395995579303
84832140,84832136,86.1562523992509
84832140,3878966093,294.26310967559425
84761318,84888359,29.733972720558235
84761318,84888357,95.7121482457006
84761318,84921327,133.2029877792714
84888359,84824618,115.73818586891012
84888359,84888362,96.90159844972291
84888359,84921246,134.04402799791322
84888357,84824613,115.43360335189357
84888357,84888356,73.63214389205312
84888357,84919830,123.2966684063841
84762366,2168048271,194.46334347299234
84762366,2168048211,62.67139256951482
84762366,2168048249,61.14297343128032
2168048271,2168048253,39.96308528109302
2168048271,2168048276,41.22840627037468
84762745,1383084418,16.814922489232252
84762745,84762770,187.6870778244743
84762745,84762757,281.9025653178777
84762745,84903448,89.37865063116584
1383084418,1383093563,68.96338668004493
1383084418,1383084591,190.44382667893336
84762770,84762768,21.603639966920472
84762770,1383084591,15.88028383893371
84762770,84863161,219.43316468481842
84762757,84762768,88.5435838195374
1383084591,1383084589,220.49906258489364
84863161,1383084589,16.209058229680224
84863161,84903448,759.0136405382013
84863161,9990580237,216.02074479271678
84762970,84762992,262.92379512276136
84762970,6337156766,143.98185644354618
84762970,6569450237,263.0476035879753
6337156766,6248083095,47.40987367131468
6337156766,7054619679,398.8755351298147
6569450237,84871267,52.734331118681574
6569450237,6569450238,22.364522098351337
84763057,2089578852,13.66700823467985
84763057,84887539,112.5303047505245
84763057,1998040902,258.54748337476593
2089578852,1419597071,735.0118025927437
2089578852,2089578849,260.0826168528843
2089578852,2089578858,111.33267871459634
84887539,84837744,131.58468728719353
84887539,2089578858,13.014633167427473
84887539,84875094,88.62107265254137
84884655,84884640,251.72418196404664
84884655,84887282,207.45860654924942
84884655,84887292,191.73310324420137
84887282,84871239,283.6651539505548
84763265,84934359,145.59391415665826
84934359,84861771,19.01549810781971
84934359,84934652,52.23443788105391
84763692,84898537,186.9759811783205
84763692,3616302018,12.475532862086183
84763692,84763695,174.92488770258151
84763692,1924766883,82.82079722280626
84898537,84873022,289.3234125292114
84898537,3616302017,12.746867280206958
84898537,84834353,210.3251902567205
3616302018,3616302017,187.6670198457758
3616302018,3616302019,82.91145410241016
84764020,84860468,282.78790486858725
84860468,84834786,128.95841351180553
84860468,4230900684,128.95300315504298
84885194,84934349,84.36685947552822
84765768,1845448105,364.08132290596706
84765768,1845448110,74.88594961139121
84765768,84765793,478.44171007176357
1845448105,1845448096,123.23988212654776
1845448105,1845448109,63.9596698191677
1845448110,84822963,54.924640601740265
1845448110,84836969,317.2179218249604
84766081,3529433107,15.204961039188952
84766081,10118400906,112.3656626514157
84766081,11710509904,399.51508025170233
84766081,3927561147,311.18746497082253
3529433107,3927561146,312.65692410974236
3529433107,10118400905,113.31928115671822
10118400906,10118400905,14.59312491958104
10118400906,10118400909,113.50697042724303
84766181,84930193,62.3805167776614
84766181,7241302670,138.16531003348248
84766181,84930189,113.31192081145494
84930193,84935326,231.7697703736448
84930193,84930194,144.10980841373353
7241302670,7241302670,62.08034008030487
84930189,84837103,77.67226681640713
84766228,7120518753,12.391966910872597
84766228,7120518755,91.58495639143703
84766228,3919850938,10.063159719138065
84766228,7690359226,73.95606005140021
7120518753,7025491715,88.06328473005249
